,Question,Candidate Answer 1,Candidate Answer 2,Candidate Answer 3,Source,Section,Working Group,Series
504,What cause code should the Mobility Management Entity (MME) include in a Delete Session Request procedure to enable the Home Public Land Mobile Network (HPLMN) operator to differentiate between session deletions due to failure cases and those not related to failure conditions?,"The MME should include an appropriate cause code that indicates whether the Delete Session Request is due to a failure case or if it's executed in cases not related to any failure conditions, allowing the HPLMN operator to take specific actions based on the reason for the session deletion.","The MME should include a cause code that distinguishes between Delete Session Requests triggered by error scenarios and those initiated under normal operating conditions, enabling the HPLMN operator to respond accordingly.","The MME must include a specific cause code in the Delete Session Request procedure that signals whether the session deletion is a result of an error or failure condition versus a routine operation, allowing the HPLMN operator to apply appropriate measures based on the nature of the session termination.",3GPP TS 23.401,5.18 HPLMN Notification with specific indication due to MME initiated Bearer removal,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
505,What actions should a User Equipment (UE) take upon receiving a Physical Uplink Control Channel (PUCCH) release request or Sounding Reference Signal (SRS) release request from lower layers for all bandwidth parts of an indicated serving cell?,"Upon receiving a PUCCH release request, the UE should release PUCCH-CSI-Resources and SchedulingRequestResourceConfig instances for all bandwidth parts of the indicated serving cell. Similarly, upon receiving an SRS release request, the UE should release SRS-Resource instances for all bandwidth parts of the indicated serving cell.","The UE's actions involve releasing specific resources configured for the indicated serving cell. For PUCCH, this includes releasing CSI report configurations and scheduling request resource configurations. For SRS, it involves releasing sounding reference signal resource instances.","When a UE receives a PUCCH or SRS release request, it must take immediate action to release the specified resources. This is crucial for maintaining optimal network performance and ensuring that other UEs can utilize these resources as needed.",3GPP TS 38.331,5.3.12 UE actions upon PUCCH/SRS release request,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
506,What is the maximum latency allowed for a UTM to send route modification information to a User Equipment (UE) on board an Unmanned Aerial System (UAS)?,"The maximum latency allowed for a UTM to send route modification information to a UE on board a UAS is less than 500ms. This ensures that the UAS can receive and respond to updated route information in a timely manner, enabling efficient and safe navigation within the airspace.","In support of Centralised UAV traffic management, the maximum latency allowed for a UTM to send route modification information to a UE on board a UAS is less than 500ms. This stringent latency requirement is crucial for ensuring that the UAS can adapt quickly to changing airspace conditions and avoid potential collisions or hazards.","To facilitate efficient and safe UAV operations, the maximum latency allowed for a UTM to send route modification information to a UE on board a UAS is less than 500ms. This enables the UAS to promptly adjust its flight path in response to updated authorisation or instructions from the UTM, thereby enhancing overall airspace management and reducing the risk of accidents or incidents.",3GPP TS 22.825,7.2 Centralised UAV traffic management,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
507,"When a Mobile Station (MS) requests establishment of a default PDP context using an ACTIVATE PDP CONTEXT REQUEST message, how does it indicate to the network that it wants to use DHCPv4 for IPv4 address assignment?",The MS indicates its desire to use DHCPv4 for IPv4 address assignment by including this information within the Protocol Configuration Options IE in the ACTIVATE PDP CONTEXT REQUEST message.,"To specify the use of DHCPv4, the Mobile Station includes a specific indicator or option within the Protocol Configuration Options Information Element (IE) of the ACTIVATE PDP CONTEXT REQUEST message.","The MS signals its intention to use DHCPv4 by setting a particular value or flag within the Protocol Configuration Options IE, which is part of the ACTIVATE PDP CONTEXT REQUEST message.",3GPP TS 24.008,6.1.2A.2 IP address allocation via NAS signalling,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
508,"How does the Policy Control Function (PCF) derive round trip delay information for two service data flows considering the UL direction of a service data flow and the DL direction of another service data flow in the same PDU Session, based on QoS Monitoring policies provided by the Application Function (AF)?","The PCF derives round trip delay information for two service data flows by first receiving QoS monitoring policies from the AF. These policies are specific to each direction's packet delay for individual QoS Flows. Based on these policies, the PCF triggers QoS Monitoring for packet delay of individual QoS Flows in both UL and DL directions. The PSA UPF reports the delay information per QoS Flow to the SMF, which then forwards this information to the PCF. Finally, the PCF calculates the round trip delay by combining the packet delay results from both directions.","To derive round trip delay information for two service data flows in the same PDU Session, the PCF relies on QoS Monitoring policies provided by the AF. These policies dictate how to monitor packet delay for individual QoS Flows in each direction (UL and DL). The PCF uses these policies to request the PSA UPF to measure and report packet delay information for both directions of the service data flows. Once this information is received, the PCF calculates the round trip delay by considering the UL direction of one service data flow and the DL direction of another service data flow.","The derivation of round trip delay information for two service data flows involves a multi-step process initiated by the AF's provision of QoS monitoring policies to the PCF. These policies outline how to monitor packet delay for individual QoS Flows in both UL and DL directions. Based on these policies, the PCF triggers QoS Monitoring and receives delay information from the PSA UPF via the SMF. The PCF then calculates the round trip delay by combining the packet delay results from both directions of the service data flows.",3GPP TS 23.501,5.37.4 Network Exposure of 5GS information,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
509,How does the Unified Data Management (UDM) support the de-concealment of a privacy-protected subscription identifier (SUCI) in various scenarios?,"The UDM provides support for the de-concealment of SUCI by managing and storing SUPIs for each subscriber, ensuring user identities are protected from unauthorized access. This functionality is important in real-world scenarios such as online transactions, where sensitive information needs to be safeguarded.","The UDM's support for de-concealment of SUCI is crucial in scenarios where user anonymity needs to be maintained, such as in IoT applications or public Wi-Fi networks. The UDM can manage and store SUPIs, allowing devices to authenticate and access services while keeping their identities private.","The UDM's de-concealment of SUCI functionality is essential in scenarios where user identity protection is critical, such as in emergency services or public safety networks. The UDM can provide secure and controlled access to SUPIs, ensuring that only authorized entities can access sensitive information.",3GPP TS 23.501,6.2.7 UDM,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
510,"How does a GTP-C node determine when to send its Load Control Information to a peer node, and what factors influence the decision to send different values of Load Control Information on inter-network versus intra-network interfaces?","A GTP-C node determines when to send its Load Control Information based on local configuration. The decision to send different values of Load Control Information on inter-network versus intra-network interfaces is also influenced by local configuration, allowing the node to adapt its load control strategy according to specific network conditions or policies.","A GTP-C node sends its Load Control Information to a peer node when it needs to reflect changes in its operating status or resource availability. The decision to send different values of Load Control Information on inter-network versus intra-network interfaces is influenced by factors such as roaming agreements, network congestion, and quality of service requirements.","A GTP-C node sends its Load Control Information to a peer node based on a combination of factors, including local configuration, current resource utilization, and network conditions. The decision to send different values of Load Control Information on inter-network versus intra-network interfaces is also influenced by considerations such as interoperability between nodes of different vendors, DNS-based node selection procedures, and the need to prevent additional signaling load.",3GPP TS 29.274,12.2.1 Principles of load control,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
511,"In a scenario where a User Equipment initiates a connection to a Packet Data Network, what is the requirement for the IP Source Address and IP Destination Address of an IP packet carrying both a triggered response message and a piggybacked initial message in GTPv2-C protocol?","The IP Source Address for the IP packet containing both the triggered response message and the piggybacked initial message must be the same as the IP Address used for the triggered response message. Similarly, the IP Destination Address for this IP packet should also match the IP Address used for the triggered response message.","Both the triggered response message and the piggybacked initial message share a common IP header. This implies that the IP Source Address of this shared IP packet should be identical to the one used for sending the triggered response message. Furthermore, the IP Destination Address must also remain consistent with the address used for the triggered response message.","The two messages must be concatenated within a single IP packet that shares a common IP header. Consequently, the IP Source Address of this combined packet is mandated to match the source address used for transmitting the triggered response message. Likewise, the IP Destination Address should also align with the destination address specified for the triggered response message.",3GPP TS 29.274,4.2.2.3 Piggybacked Messages,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
512,"How does the converged 5G core handle authentication for non-5G capable devices that lack key 5G capabilities, such as NAS and derivation of the 5G key hierarchy, when these devices need to access the wireline network?",The converged 5G core handles authentication for non-5G capable devices through additional EAP methods beyond EAP-AKA'. This approach allows N5GC devices to access the wireline network despite lacking key 5G capabilities.,"For non-5G capable devices that need to access the converged 5G core via wireline networks, authentication is facilitated through a modified procedure. The W-AGF creates a registration request on behalf of the N5GC device and ignores any received 5G-related parameters from the AMF.","The converged 5G core accommodates non-5G capable devices by leveraging alternative authentication methods that do not rely on NAS or the derivation of the 5G key hierarchy. By adapting to these limitations, the converged core ensures seamless integration and access for N5GC devices within wireline networks.",3GPP TS 33.501,O.2 Baseline for using non-5G capable devices with 5GC,SA WG3,"3GPP Series : 33 , Security aspects"
513,"What are the conditions under which NG-RAN determines the User Equipment (UE) presence as 'IN', 'OUT', or 'UNKNOWN' within an Area of Interest, considering the UE's RRC state and its location relative to the RNA boundaries?","The NG-RAN determines the UE presence as follows: - 'IN': If the UE is inside the Area of Interest in RRC_CONNECTED state, or if it's inside an RNA that is completely contained within the Area of Interest. - 'OUT': If the UE is outside the Area of Interest in RRC_CONNECTED state, or if it's inside an RNA that doesn't contain any part of the Area of Interest. - 'UNKNOWN': If none of the above conditions for 'IN' or 'OUT' are met.","NG-RAN considers both the UE's Radio Resource Control (RRC) state and its location relative to the Registered Network Area (RNA) boundaries when determining UE presence within an Area of Interest. - For a UE in RRC_CONNECTED state, it is considered 'IN' if inside the Area of Interest and 'OUT' if outside. - If the UE is inside an RNA, NG-RAN checks if the RNA is completely contained within or does not contain any part of the Area of Interest to determine 'IN' or 'OUT', respectively. - Any scenario not meeting these conditions results in an 'UNKNOWN' status.","The determination of UE presence by NG-RAN involves evaluating two key factors: the UE's RRC state and its spatial relationship with both the Area of Interest and the RNA boundaries. - A UE is considered 'IN' if it is either directly inside the Area of Interest while in RRC_CONNECTED state or located within an RNA that fully encapsulates the Area of Interest, ensuring all parts of the Area are covered by the RNA. - Conversely, a UE is classified as 'OUT' if it falls outside the Area of Interest during its RRC_CONNECTED state or resides within an RNA that does not overlap with any portion of the Area of Interest. - The 'UNKNOWN' status is assigned when these conditions do not apply, indicating ambiguity in determining the UE's presence relative to the specified area.",3GPP TS 23.502,D.2 Determination of UE presence in Area of Interest by NG-RAN,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
514,What are the required inputs for an Application Function to subscribe to receive notifications about the availability or expected level of support of a service API for a User Equipment or a group of UEs?,"The AF needs to provide two required inputs: UE ID or External Group ID, and Report Type. The UE ID identifies the specific User Equipment, while the External Group ID represents a group of UEs. The Report Type specifies whether the AF wants to receive a one-time report or continuous reports about the service API support capability.","To subscribe to notifications, an Application Function must provide two essential inputs. Firstly, it needs to specify either the UE ID for a single User Equipment or the External Group ID for a group of UEs. Secondly, it has to define the Report Type, which can be either a one-time report that provides a snapshot of the current support capability or a continuous report that keeps the AF updated on any changes.","For an Application Function to successfully subscribe to notifications about service API support for a User Equipment or a group of UEs, two critical pieces of information are required. The first is identifying the target UE(s) by providing either a unique UE ID for individual equipment or an External Group ID that encompasses multiple UEs. The second requirement is specifying the Report Type, which determines whether the AF receives immediate feedback (one-time report) or ongoing updates (continuous report) regarding the support capability of the service API in question.",3GPP TS 23.502,5.2.6.12.2 Nnef_APISupportCapability_Subscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
515,"What is the primary purpose of the PDU Set Delay Budget (PSDB) in the 5G System, and how does it relate to the delay experienced by a PDU Set between the User Equipment (UE) and the N6 termination point at the UPF?","The primary purpose of the PSDB is to define an upper bound for the delay that a PDU Set may experience during transfer between the UE and the N6 termination point at the UPF, ensuring data transmission stays within a predetermined timeframe.","The PSDB serves as a critical parameter for managing latency in the 5G System by setting an upper limit on the delay experienced by a PDU Set, crucial for maintaining Quality of Service (QoS) and delivering data packets within a specified time frame.","The PSDB plays a pivotal role in optimizing network performance by providing an upper bound on the delay experienced by PDU Sets, allowing effective configuration of scheduling and link layer functions to meet required QoS standards for various applications and services.",3GPP TS 23.501,5.7.7.2 PDU Set Delay Budget,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
516,"What is the primary reason for the gNB not releasing the DRB in step 2 of the QoS flow release with explicit signalling procedure, despite deciding to release the corresponding QFI to DRB mapping rule?","The primary reason for the gNB not releasing the DRB is that it carries other QoS flows. This indicates that the DRB has multiple mappings and releasing it would impact other active QoS flows, hence the gNB decides to only release the specific QFI to DRB mapping rule.","The main reason for not releasing the DRB in this scenario is to maintain continuity of service for the UE. Since the DRB carries multiple QoS flows and releasing it would disrupt these active flows, the gNB prioritizes maintaining network stability by only updating the specific QFI to DRB mapping rule.","The decision not to release the DRB in step 2 is primarily driven by resource optimization considerations. Releasing a DRB that still carries other active QoS flows would result in inefficient use of network resources, as it would necessitate re-establishing these flows unnecessarily. By only releasing the specific QFI to DRB mapping rule, the gNB ensures efficient utilization of network resources while meeting the request from the CN.",3GPP TS 38.300,A.5 Release of QoS Flow with Explicit Signalling,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
517,"What are the two options for Sidelink HARQ feedback using PSFCH, and how do they differ in terms of transmission resources and support for unicast, groupcast, and unlicensed spectrum?","The first option is configured for both unicast and groupcast transmissions. In this option, the PSFCH transmits either an ACK or NACK on a dedicated resource allocated to a single UE transmitting PSFCH, ensuring clear and distinct communication without interference from other UEs.","The second option is primarily configured for groupcast transmissions but can also be used in scenarios where no PSFCH signal needs to be sent. In this scenario, the PSFCH either transmits a NACK or remains silent, and multiple UEs transmitting PSFCH share the same resource. However, it does not support sidelink communications in unlicensed spectrum due to potential interference issues and regulatory constraints.","A key distinction between these two options lies in their support for different transmission modes and spectrums. The first option supports both unicast and groupcast, offering flexibility in how UEs communicate with each other or the gNB. In contrast, the second option is geared more towards groupcast scenarios but lacks support for sidelink communications in unlicensed spectrum. Additionally, while the first option dedicates resources to individual UEs for HARQ feedback transmission, the second option allows resource sharing among multiple UEs.",3GPP TS 38.300,5.7.4.1 HARQ feedback,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
518,"What action does the User Equipment take when it encounters transmission failure of an IDENTITY RESPONSE message indication without TAI change from lower layers during a service request procedure, and what flexibility does this leave for the UE's implementation?","In case of transmission failure of an IDENTITY RESPONSE message indication without TAI change from lower layers during a service request procedure, the User Equipment aborts the identification procedure. This leaves flexibility in the UE's implementation to decide how to re-run the ongoing procedure that triggered the identification procedure.","When encountering transmission failure of an IDENTITY RESPONSE message indication without TAI change from lower layers during a service request procedure, the UE takes the action of aborting the identification procedure. This provides flexibility in the UE's implementation as it allows the UE to determine the best approach for re-running the ongoing procedure that triggered the identification procedure.","The User Equipment's action upon encountering transmission failure of an IDENTITY RESPONSE message indication without TAI change from lower layers during a service request procedure is to abort the identification procedure. This leaves room for flexibility in the UE's implementation, as it can choose how to proceed with re-running the ongoing procedure that triggered the identification procedure.",3GPP TS 24.301,5.4.4.5 Abnormal cases in the UE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
519,"What is the primary purpose of the Location Area Identification 2 information element in a 3GPP system, and what is its coded structure?",The primary purpose of the Location Area Identification 2 information element is to provide an unambiguous identification of location areas within the area covered by the 3GPP system. This information element is crucial for accurate location management and routing in mobile networks.,"The Location Area Identification 2 information element serves as a unique identifier for location areas within the 3GPP system's coverage area. Its primary purpose is to facilitate efficient location management and routing in mobile networks, ensuring that mobile devices can be accurately located and communicated with.","In the context of 3GPP systems, the Location Area Identification 2 information element plays a vital role in providing an unambiguous identification of location areas. This is essential for ensuring accurate location management and routing in mobile networks, which in turn enables efficient communication between mobile devices and the network infrastructure.",3GPP TS 24.008,10.5.5.30 Location Area Identification 2,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
520,When does a gNB derive a new KNG-RAN during an intra-gNB-CU handover?,"A gNB will derive a new KNG-RAN if the current KgNB is to be changed, based on its policy. The gNB informs the UE of this decision and uses either vertical key derivation or horizontal key derivation to derive the new KNG-RAN.","A gNB derives a new KNG-RAN during an intra-gNB-CU handover if it decides to change the current KgNB, based on its policy. The decision is indicated to the UE through the HO Command message and either vertical key derivation or horizontal key derivation is used.","A gNB derives a new KNG-RAN during an intra-gNB-CU handover if it decides to change the current KgNB, based on its policy. The gNB uses either vertical key derivation or horizontal key derivation and sends the NCC used for the KNG-RAN derivation to the UE in the HO Command message.",3GPP TS 33.501,6.9.2.3.1 Intra-gNB-CU handover and intra-ng-eNB handover,SA WG3,"3GPP Series : 33 , Security aspects"
521,"What are the specific conditions under which a User Equipment would perform a fallback from New Radio to E-UTRA connected to either Evolved Packet System or 5G Core, and how do these conditions influence whether the fallback results in CONNECTED state mobility via handover procedure or IDLE state mobility through redirection?","A User Equipment performs a fallback from New Radio to E-UTRA connected to either Evolved Packet System or 5G Core under specific conditions. If New Radio does not support Emergency Services, the UE falls back to E-UTRA connected to 5G Core. Conversely, if 5G Core does not support Emergency Services, the fallback is towards E-UTRA connected to Evolved Packet System. The choice between CONNECTED state mobility via handover procedure and IDLE state mobility through redirection depends on factors such as CN interface availability, network configuration, and radio conditions.","The fallback from New Radio to E-UTRA occurs due to limitations in supporting Emergency Services either by the New Radio or the 5G Core. When New Radio lacks support for Emergency Services, the UE falls back to E-UTRA connected to 5G Core. In contrast, if 5G Core is incapable of supporting Emergency Services, the fallback targets E-UTRA connected to Evolved Packet System. The outcome of this fallback procedure—whether it results in CONNECTED state mobility or IDLE state mobility—is influenced by a combination of network and environmental factors.","In scenarios where New Radio is unable to provide Emergency Services or when the 5G Core lacks support for such services, User Equipment initiates a fallback procedure to E-UTRA. The destination of this fallback—whether it's E-UTRA connected to Evolved Packet System or 5G Core—is determined by which entity is incapable of supporting Emergency Services. The fallback process can result in either CONNECTED state mobility, achieved through a handover procedure, or IDLE state mobility, facilitated by redirection. The specific outcome depends on an interplay of factors including the status of CN interfaces, network settings, and radio conditions at the time of fallback.",3GPP TS 38.300,16.5.4 Fallback,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
522,"What are the implications for the EPS bearer context(s) and the states entered in both the User Equipment (UE) and the network during a combined EPS/IMSI detach procedure initiated by the UE, considering the role of the Mobility Management Entity (MME)?","During a combined EPS/IMSI detach procedure initiated by the UE, the EPS bearer context(s) are deactivated locally without peer-to-peer signalling between the UE and the MME. This deactivation ensures that resources are freed up in both the UE and the network. After the procedure is completed, the states EMM-DEREGISTERED and MM-NULL are entered in both the UE and the network.","When a UE initiates a combined EPS/IMSI detach procedure, it leads to the deactivation of the EPS bearer context(s) for that specific UE. This process affects the EPS services and marks the UE as inactive for non-EPS services in the network. The MME manages the mobility aspects and ensures that the UE's status is updated correctly across the network. As a result, both the UE and the network transition into the EMM-DEREGISTERED and MM-NULL states.","During a combined EPS/IMSI detach initiated by the UE, the EPS bearer context(s) are terminated as part of the procedure. This termination involves local processes within both the UE and the network infrastructure. The DETACH REQUEST message sent by the UE triggers the deactivation process. Following the completion of the detach procedure, the UE stops timer T3421 upon receiving the DETACH ACCEPT message from the network, and both the UE and the network enter the EMM-DEREGISTERED and MM-NULL states.",3GPP TS 24.301,5.5.2.2.3 UE initiated combined detach procedure completion,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
523,"What are the primary drawbacks of IP fragmentation in the context of GTP-C, and how can Path MTU discovery help mitigate these issues?","The primary drawbacks of IP fragmentation in the context of GTP-C are inefficiency due to duplicated IP headers in each fragment and the need to discard the entire packet if one fragment is lost. To mitigate these issues, Path MTU discovery can be used to determine the maximum transmission unit size along a path, allowing for more efficient fragmentation mechanisms or avoiding fragmentation altogether.","In the context of GTP-C, IP fragmentation has two significant drawbacks: it leads to inefficient use of network resources due to duplicated headers in each fragment, and it results in complete packet loss if any single fragment is lost. Path MTU discovery can help mitigate these issues by enabling applications to determine the optimal packet size for a given path, thereby reducing or eliminating the need for fragmentation.","The primary drawbacks of IP fragmentation in GTP-C are its inefficiency and potential for complete packet loss if any fragment is lost. To address these challenges, Path MTU discovery can be employed as a proactive measure to identify the maximum transmission unit size along a path. By doing so, applications can adapt their packet sizes accordingly, either by using more efficient fragmentation mechanisms or by avoiding fragmentation altogether, thus improving overall network efficiency and reliability.",3GPP TS 29.274,10.2 IP Fragmentation,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
524,"What is the significance of the Subscriber Profile ID for RAT/Frequency Priority (SPID) in the context of Evolved Packet System (EPS), and how does its encoding as an unsigned integer impact the structure of the RFSP Index parameter?","The Subscriber Profile ID for RAT/Frequency Priority (SPID) plays a crucial role in the Evolved Packet System (EPS) by enabling the network to prioritize Radio Access Technologies (RATs) and frequencies based on subscriber-specific profiles. As an unsigned integer, SPID's encoding requires two octets, which directly influences the structure of the RFSP Index parameter.","The significance of SPID in EPS lies in its ability to provide a standardized way of identifying subscriber-specific preferences for RAT and frequency priority. By encoding SPID as an unsigned integer, the RFSP Index parameter can efficiently convey this information using only two octets.","The use of SPID in EPS highlights the importance of subscriber-centric network optimization. By allocating a unique identifier to each subscriber profile, the network can dynamically adjust RAT and frequency selection based on individual user needs.",3GPP TS 29.274,8.77 RFSP Index,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
525,"What action does the Mobile Station take when it receives a START DTMF ACKNOWLEDGE message from the network and the user indicates that DTMF sending should cease, and what is the purpose of starting timer T337 in this scenario?","When the Mobile Station receives a START DTMF ACKNOWLEDGE message from the network and the user indicates that DTMF sending should stop, the MS sends a STOP DTMF message to the network. The purpose of starting timer T337 is to ensure that the ongoing DTMF procedure is terminated after a certain period if no further action is taken.","Upon receiving a START DTMF ACKNOWLEDGE message from the network and the user's indication to cease DTMF sending, the Mobile Station sends a STOP DTMF message to the network as an acknowledgement of the termination request. Starting timer T337 serves as a safeguard mechanism, allowing the MS to automatically terminate the ongoing DTMF procedure if it does not receive any further instructions within a specified time frame.","When the Mobile Station receives a START DTMF ACKNOWLEDGE message from the network and the user indicates that DTMF sending should stop, the MS responds by sending a STOP DTMF message to the network. The primary purpose of starting timer T337 in this scenario is to provide a time-out mechanism for the ongoing DTMF procedure.",3GPP TS 24.008,5.5.7.3 Stop DTMF request by the mobile station,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
526,"In the context of Long-Term Measurement (LTM) for Channel State Information (CSI), how does the LTM-CSI-ResourceConfig information element define a group of one or more CSI resources for one or more LTM candidate configurations, and what specific components are included in this configuration to support efficient resource allocation and utilization in 5G networks?","The LTM-CSI-ResourceConfig information element defines a group of one or more CSI resources by specifying a unique identifier for the configuration, which is associated with a set of SSB resources and their corresponding candidate identifiers. This allows for efficient resource allocation and utilization in 5G networks by enabling the network to manage multiple CSI resources and configurations simultaneously.","The LTM-CSI-ResourceConfig information element includes two primary components: one that defines a set of SSB resources and their corresponding candidate identifiers, and another that lists the candidate identifiers associated with each SSB resource. This configuration enables the network to efficiently allocate and utilize CSI resources by mapping specific SSB resources to individual LTM candidate configurations.","The LTM-CSI-ResourceConfig information element supports efficient resource allocation and utilization in 5G networks by providing a flexible framework for defining multiple CSI resources and configurations. This is achieved through the use of sequences that allow for the specification of variable numbers of SSB resources and candidate identifiers, enabling the network to adapt to changing resource requirements and optimize CSI resource utilization.",3GPP TS 38.331,– LTM-CSI-ResourceConfig,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
527,"What key difference exists between the normal network-initiated bearer activation/modification procedure and the DeNB-initiated bearer activation/modification procedure for changing the EPS bearer allocation for a Relay Node (RN), specifically regarding the roles of S-GW/P-GW functionality?","The primary distinction lies in which entity performs the S-GW/P-GW functionality. In the normal network-initiated procedure, these functions are carried out by dedicated Serving and Packet Data Network Gateways. However, in the DeNB-initiated procedure, this responsibility is taken over by the Donor eNodeB itself.","The key difference between these two procedures revolves around the implementation of S-GW/P-GW functionality. While both procedures follow a similar framework for bearer activation/modification, the DeNB-initiated procedure uniquely integrates the roles typically associated with Serving and Packet Data Network Gateways into the operations of the Donor eNodeB.","The main difference between these procedures is how they handle S-GW/P-GW functionality in relation to changing EPS bearer allocations for a Relay Node. Unlike the standard network-initiated procedure, where S-GW/P-GW functions are performed by separate entities, the DeNB-initiated procedure consolidates these functions within the Donor eNodeB.",3GPP TS 23.401,4.3.20.3 DeNB E-RAB activation/modification,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
528,"When a User Equipment capable of simultaneously connecting to a Secondary Node PN and a Public Land Mobile Network is not set to operate in Secondary Node PN access mode, how does it perform network selection procedures for each interface?",The User Equipment performs PLMN selection procedures using the corresponding interface for connection to the Public Land Mobile Network. The UE applies network selection and cell (re-)selection rules as applicable for each access and network type.,"When a UE capable of simultaneous connectivity to an SNPN and a PLMN is not set to operate in SNPN access mode, it only performs PLMN selection procedures using the corresponding interface for connection to the PLMN. Instead, it applies cell (re-)selection rules as applicable for the SNPN access and network type.","The UE's behavior can be seen as a form of dual-connectivity, where it maintains separate connections to both the SNPN and the PLMN. For each interface, the UE applies the relevant network selection and cell (re-)selection rules. However, since the UE is not set to operate in SNPN access mode, its primary focus for network selection procedures is on the PLMN interface.",3GPP TS 23.501,D.4 Support for UE capable of simultaneously connecting to an SNPN and a PLMN,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
529,"What is the maximum relative speed, in km/h, at which the system should support a direct Unmanned Aerial Vehicle (UAV) to UAV local broadcast communication transport service for collision avoidance?",The system shall support a direct UAV to UAV local broadcast communication transport service at relative speeds of up to 320 kmph.,"To ensure safe and efficient collision avoidance, the system must be able to facilitate direct UAV-to-UAV communication even when the vehicles are moving at high speeds. Therefore, the maximum relative speed supported by the system for this purpose is 320 km/h.","In order to support collision avoidance in various scenarios, including those involving high-speed UAVs, the system has been designed to facilitate direct local broadcast communication transport services between UAVs at relative speeds of up to 320 km/h.",3GPP TS 22.825,5.5.3 Potential service requirements,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
530,"What is the primary purpose of the ERAB.EstabTimeMean.QCI measurement in the context of Evolved Universal Terrestrial Radio Access Network (E-UTRAN), and how does it relate to Quality of Service (QoS) class identification?",The primary purpose of the ERAB.EstabTimeMean.QCI measurement is to provide the mean time it takes to establish an E-RAB per QCI. This measurement helps in evaluating the performance of the network in terms of setting up bearers for different QoS classes.,"The ERAB.EstabTimeMean.QCI measurement serves as a key performance indicator (KPI) for assessing the efficiency of E-RAB establishment in E-UTRAN networks. By accumulating time intervals for successful E-RAB setups and dividing by the number of setups, this metric provides an average setup time per QoS class.","From a Quality of Service (QoS) perspective, the ERAB.EstabTimeMean.QCI measurement is essential for ensuring that E-UTRAN networks can deliver on the promised QoS levels. By measuring the mean setup time for bearers across different QCIs, network operators can identify bottlenecks or areas for improvement in their infrastructure.",3GPP TS 32.425,4.2.1.7 Mean E-RAB Setup time,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
531,"What is the primary purpose of the RACH access delay distribution measurement in E-UTRAN, and how is it calculated based on UE reports?","The primary purpose of the RACH access delay distribution measurement is to provide insights into the time taken by User Equipment (UEs) to achieve a successful attach in a cell. This measurement is calculated based on the number of Random Access Preambles sent and contention detected, as reported by the UE.","The RACH access delay distribution measurement serves to assess the performance of the Random Access Channel (RACH) in E-UTRAN, specifically focusing on the delay between the UE's initial preamble transmission and the reception of the Random Access Response. This metric is essential for evaluating the efficiency of the RACH procedure and identifying potential bottlenecks.","The primary purpose of the RACH access delay distribution measurement is to provide a detailed understanding of the variability in RACH access delays experienced by UEs within a cell. This information can be used to optimize network configuration parameters, such as preamble transmission settings and contention resolution mechanisms, to minimize delays and improve overall network efficiency.",3GPP TS 32.425,4.5.5.3 Distribution of RACH access delay,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
