name,full_form,entity_type,Comments(V/U/I),context,description,explanation,Document_number,Section_title,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Comment,document_number
TDMA,Time Division Multiple Access,Technology,U,"In a number of places in the present document, it is mentioned that some value must take a ""random"" value, in a given range, or more generally with some statistical distribution. Such cases interest only the Mobile Station. It is required that there is a low probability that two MSs in the same conditions (including the case of two MSs of the same type from the same manufacturer) will choose the same value. Moreover, it is required that, if it happens that two MSs in similar conditions choose the same value, the probability of their choices being identical at the next occasion is the same as if their first choices had been different. The meaning of such a specification is that any statistical test for these values, done on a series of similar events, will obtain a result statistically compatible with the specified distribution. This shall hold even in the cases where the tests are conducted with a subset of possible events, with some common parameters. Moreover, basic tests of independence of the values within the series shall pass. Data against which correlation with the values shall not be found are the protocol state, or the IMSI, or identities or other unrelated information broadcast by the network, or the current TDMA frame number.","The TDMA technology is used in cellular networks for multiplexing and multiple access. It divides time into frames, which are further divided into slots.",Classified as Technology because it describes a method of managing multiple access to the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
BPSK,Binary Phase Shift Keying,Technology,U,"For and π/2-BPSK modulation only 2-of-3 adjacent subcarriers are selected as described in 5.5.2.1A.2. The time-continuous signal in SC-FDMA symbol in an uplink slot is defined by for where , , is given by Table 5.6-1, and and are respectively the modulation value for subcarrier index and for symbol , and the values of used on and are respectively obtained by subtracting from the resulting set of allocated subcarriers as described in Table 8.1.6-1 of [4], and represents the lower subcarrier index among the selected subcarriers and is the subcarrier index adjacent to it. The phase rotation is given by where is the number of transport blocks defined in clause 8.0 of TS 36.213[ Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures ]  [4]. If >1 and interleaving between codewords is applied according to clause 8.0 of TS 36.213[ Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures ]  [4], then the symbol counter is reset at the start of the first PUSCH codeword transmission and incremented for each symbol during the transmission of the PUSCH codewords. For other cases, the symbol counter is reset at the start of each PUSCH codeword transmission and incremented for each symbol during the transmission of the PUSCH codeword. The SC-FDMA symbols in a slot shall be transmitted in increasing order of , starting with , where SC-FDMA symbol starts at time within the slot.","Binary Phase Shift Keying (BPSK) is a modulation technique used in telecommunications, specifically in the context of Single Carrier Frequency Division Multiple Access (SC-FDMA) symbols in an uplink slot. It involves phase shift keying to encode data onto subcarriers. The process includes selecting adjacent subcarriers, defining time-continuous signals, and applying phase rotation based on transport block numbers and interleaving between codewords as specified in the Evolved Universal Terrestrial Radio Access (E-UTRA) physical layer procedures.","BPSK is classified under Technology because it refers to a specific method of data transmission and modulation within telecommunications systems, adhering to standards outlined by 3GPP specifications for efficient and standardized communication.",3GPP TS 36.211,5.6A.2 Modulation scheme π/2-BPSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Carrier Aggregation,Technology,U,"The requirements for carrier aggregation in this specification are defined for carrier aggregation configurations with associated bandwidth combination sets. For inter-band carrier aggregation, a carrier aggregation configuration is a combination of operating bands, each supporting a carrier aggregation bandwidth class. For intra-band contiguous carrier aggregation, a carrier aggregation configuration is a single operating band supporting a carrier aggregation bandwidth class. For each carrier aggregation configuration, requirements are specified for all bandwidth combinations contained in a bandwidth combination set, which is indicated per supported band combination in the UE radio access capability. A UE can indicate support of several bandwidth combination sets per band combination. Requirements for intra-band contiguous carrier aggregation are defined for the carrier aggregation configurations and bandwidth combination sets specified in Table 5.6A.1-1. Requirements for inter-band carrier aggregation are defined for the carrier aggregation configurations and bandwidth combination sets specified in Table 5.6A.1-2, Table 5.6A.1-2a, Table 5.6A.1-2b and Table 5.6A.1-2c. Requirements for intra-band non-contiguous carrier aggregation are defined for the carrier aggregation configurations and bandwidth combination sets specified in Table 5.6A.1-3. The DL component carrier combinations for a given CA configuration shall be symmetrical in relation to channel centre unless stated otherwise in Table 5.6A.1-1, Table 5.6A.1-2, Table 5.6A.1-2a, Table 5.6A.1-2b and Table 5.6A.1-2c. Table 5.6A.1-1: E-UTRA CA configurations and bandwidth combination sets defined for intra-band contiguous CA Table 5.6A.1-2: E-UTRA CA configurations and bandwidth combination sets defined for inter-band CA (two bands) Table 5.6A.1-2a: E-UTRA CA configurations and bandwidth combination sets defined for inter-band CA (three bands) Table 5.6A.1-2b: E-UTRA CA configurations and bandwidth combination sets defined for inter-band CA (four bands) Table 5.6A.1-2c: E-UTRA CA configurations and bandwidth combination sets defined for inter-band CA (five bands) Table 5.6A.1-2d: E-UTRA CA configurations and bandwidth combination sets defined for inter-band CA (six bands) Table 5.6A.1-3: E-UTRA CA configurations and bandwidth combination sets defined for non-contiguous intra-band CA (with two sub-blocks) Table 5.6A.1-4: E-UTRA CA configurations and bandwidth combination sets defined for non-contiguous intra-band CA (with three sub-blocks) Table 5.6A.1-5: E-UTRA CA configurations and bandwidth combination sets defined for non-contiguous intra-band CA (with four sub-blocks)","Carrier Aggregation (CA) is a technology in wireless communication that allows multiple carriers to be combined, increasing the overall bandwidth available to mobile devices. This technique enables the efficient use of spectrum resources by aggregating multiple component carriers, each operating on a different frequency band or within the same band but with non-contiguous allocations. The requirements and configurations for carrier aggregation are specified in 3GPP standards, including definitions for intra-band contiguous, inter-band, and intra-band non-contiguous carrier aggregation scenarios.","CA is classified under Technology because it represents a specific method or technique used within telecommunications to enhance network performance and user experience. It involves the combination of multiple carriers to achieve higher data rates and better spectral efficiency, aligning with the broader goals of improving wireless communication technologies as outlined in 3GPP specifications.",3GPP TS 36.101,5.6A.1 Channel bandwidths per operating band for CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS,Almost Blank Subframes,Technology,U,"The requirements for non-MBSFN ABS are specified in Table 8.2.2.3.4-2, with the addition of parameters in Table 8.2.2.3.4-1. The purpose is to verify the performance of large delay CDD with 2 transmitter antennas if the PDSCH transmission in the serving cell takes place in subframes that overlap with ABS [9] of the aggressor cell with CRS assistance information. In Table 8.2.2.3.4-1, Cell 1 is the serving cell, and Cell 2 and Cell3 are the aggressor cells. The downlink physical channel setup for Cell 1 is according to Annex C.3.2 and for Cell 2 and Cell 3 is according to Annex C.3.3, respectively. The CRS assistance information [7] includes Cell 2 and Cell 3. Table 8.2.2.3.4-1: Test Parameters for Large Delay CDD (FRC) – Non-MBSFN ABS Table 8.2.2.3.4-2: Minimum Performance Large Delay CDD (FRC) – Non-MBSFN ABS","Almost Blank Subframes (ABS) is a technique used in LTE networks to mitigate interference between cells. It involves almost blanking certain subframes in the aggressor cell to reduce interference on the victim cell's PDSCH transmission. The ABS pattern and parameters are specified in 3GPP standards, such as those mentioned in Tables 8.2.2.3.4-1 and 8.2.2.3.4-2, which define test parameters and minimum performance requirements for large delay CDD with 2 transmitter antennas under non-MBSFN ABS conditions.","ABS is classified as a Technology because it refers to a specific technique or method used in LTE networks to manage interference between cells, aligning with the 3GPP's specifications for efficient network operations.",3GPP TS 36.101,8.2.2.3.4 Minimum Requirement 2 Tx Antenna Port (demodulation subframe overlaps with aggressor cell ABS and CRS assistance information are configured),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vSRVCC,Voice over LTE via GPRS Tunnelling Protocol,Technology,U,"This IE shall be included if the UE supports SRVCC to GERAN or UTRAN or supports vSRVCC to UTRAN (see 3GPP TS 23.216 [8]), or if the UE is performing a combined attach procedure.","vSRVCC enables voice services over LTE using GPRS tunnelling protocol. The UE supports vSRVCC to UTRAN, ensuring continuity of voice service.",Categorized as Technology because it defines an innovation for maintaining voice service continuity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
LBO,Local Breakout,Technology,UU,"Figure 4.15.6.7.3-1 shows procedure for service specific parameter provisioning by the AF to VPLMN. Figure 4.15.6.7.3-1: Service specific information provisioning by AF to VPLMN 0a. Same as in step 0a of Figure 4.15.6.7.2-1. 0b-0c. The V-PCF may request to V-UDR on changes in UE policy information and H-PCF may subscribe to H-UDR. 1-2. Steps 1-2 of Figure 4.15.6.7.2-1 apply with the following differences: - The AF and NEF belong to the VPLMN. The AF may belong to third party with agreement with VPLMN. - When the AF provides application guidance on URSP Rule determination to the VPLMN, it will target ""PLMN ID(s) of inbound roamers"". The NEF in the VPLMN rejects any request for a GPSI or an External-Group-ID of a different PLMN. 3-5. Steps 3-5 of Figure 4.15.6.7.2-1 apply with the following differences: - AF, NEF and UDR belong to VPLMN. The AF may belong to third party with agreement with VPLMN. - The UDR in the VPLMN notifies the V-PCF(s) that have subscribed to the reception of application guidance on URSP determination. - In step 5, the V-PCF receives updates on application guidance on URSP determination for the PLMN ID of a SUPI that has a UE Policy Association established. The PLMN ID of the SUPI is included in the target ""PLMN ID(s) of inbound roamers"" in step 2. In this case, the V-PCF checks whether application guidance on URSP determination applies for the SUPI as specified in clause 6.1.2.2.4 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. 5a. The V-PCF sends the Service Parameters including the mapped HPLMN S-NSSAI values to the H-PCF and subscribes to the result of the delivery of UE Policies if the delivery result was requested by the AF, using the event reporting on ""Notification on outcome of UE Policies delivery"" described in clause 6.1.3.18 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. NOTE: The AMF determines whether LBO is allowed and performs SMF selection to select the SMF in VPLMN for LBO case as described in clause 6.3.2 of TS 23.501[ System architecture for the 5G System (5GS) ]  [2]. The H-PCF requests V-PCF to notify the result of UE policy delivery to the UE. 6. The H-PCF generates new or updated URSP Rules considering the Service Parameters received from the V-PCF in step 5a as specified in clause 6.1.2.2.4 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. 7-8. Steps 7-8 of Figure 4.15.6.7.2-1 apply with the following differences: - Notification is sent from V-PCF to the AF belonging to the VPLMN or third party with agreement with VPLMN.","Local Breakout (LBO) refers to a technology feature in the 5G system architecture that allows for the breakout of local traffic at the edge of the network, closer to the user. This is achieved through the selection of a Session Management Function (SMF) in the Visited Public Land Mobile Network (VPLMN) by the Access and Mobility Management Function (AMF), as described in clause 6.3.2 of TS 23.501. LBO enables more efficient handling of local traffic, reducing latency and improving overall network performance.","LBO is classified under Technology because it represents a specific feature or capability within the 5G system architecture, aimed at optimizing network operations and user experience. The context provided highlights its role in service parameter provisioning and UE policy delivery, further emphasizing its technological aspect.",3GPP TS 23.502,4.15.6.7.3 Service specific parameter provisioning by AF to VPLMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Dual Connectivity,Technology,U,"For FDD single carrier or CA, UE is required to fulfill SDR tests specified in section 8.7.9. For TDD single carrier or CA, UE is required to fulfill SDR tests specified in section 8.7.10. For TDD-FDD CA, UE is required to fulfill SDR test in section 8.7.11. For FDD DC, UE is required to fulfill SDR tests specified in section 8.7.13. For TDD DC, UE is required to fulfill SDR tests specified in section 8.7.14. For TDD-FDD DC, UE is required to fulfill SDR test in section 8.7.15. For single carrier or CA SDR tests, CA configuration, bandwidth combination and MIMO layer on each CC is determined by following procedure. - Select one CA bandwidth combination among all supported CA configurations with bandwidth combination and MIMO layer on each CC that leads to largest equivalent aggregated bandwidth among all CA bandwidth combinations supported by UE. Equivalent aggregated bandwidth is defined as where is number of CCs, and is MIMO layer and bandwidth of CC . - When there are multiple sets of {CA configuration, bandwidth combination, MIMO layer} with same largest aggregated bandwidth, select one among sets with largest number of 4 layer CCs. - The procedure applies also for single carrier using operating band instead of CA configuration, and bandwidth instead of bandwidth combination. For DC SDR tests, DC configuration, bandwidth combination and MIMO layer on each CC is determined by following procedure. - Select one DC bandwidth combination among all supported DC configurations with bandwidth combination and MIMO layer on each CC that leads to largest equivalent aggregated bandwidth among all DC bandwidth combinations supported by UE. Equivalent aggregated bandwidth is defined as where is number of CCs, and is MIMO layer and bandwidth of CC . - When there are multiple sets of {DC configuration, bandwidth combination, MIMO layer} with same largest aggregated bandwidth, select one among sets with largest number of 4 layer CCs. For UEs with no supported 4Rx RF bands the applicability rule in 8.1.2.3C is not applied for SDR tests.","Dual Connectivity (DC) refers to a technology in mobile networks that enables a user equipment (UE) to maintain simultaneous connections with two different base stations or cells, typically one on each of the two component carriers. This allows for improved network performance, increased data rates, and better mobility management. In the context of 3GPP specifications, DC is particularly relevant for Evolved Universal Terrestrial Radio Access (E-UTRA) networks, where it is used to enhance user experience by providing seamless handovers and optimized resource allocation.","DC is classified as a Technology because it represents an advancement in mobile network capabilities, enabling UEs to leverage multiple connections for enhanced performance. The provided context from 3GPP TS 36.101 highlights the applicability of DC in various scenarios, including FDD (Frequency Division Duplexing) and TDD (Time Division Duplexing) modes, as well as its implications on SDR (Spectrum Delivery Ratio) tests and bandwidth combinations.",3GPP TS 36.101,8.1.2.3C Applicability and test rules for SDR tests for 4Rx capable UEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR-DC,Multi-Radio Dual Connectivity,Technology,U,"In MR-DC, all the possible bearer type change options are supported: - MCG bearer to/from split bearer; - MCG bearer to/from SCG bearer; - SCG bearer to/from split bearer. Bearer termination point change is supported for all bearer types, and can be performed with or without bearer type change: - MN terminated bearer to/from SN terminated bearer. For MR-DC: - when the security key is changed for a bearer due to a termination point change, the associated PDCP and RLC entities are re-established, while MAC behavior might depend on the solution selected by the network, e.g. MAC reset, change of LCID, etc. (see Annex A); - for MCG bearer, split bearer and SCG bearer, during MN security key change the MCG/SCG PDCP and RLC are re-established and MCG/SCG MAC is reset; - if a bearer type change happens together with MN security key change then for MCG bearer, split bearer and SCG bearer, the MCG/SCG PDCP and RLC are re-established and MCG/SCG MAC is reset; - if a bearer type change happens through SN change procedure, then SN terminated PDCP and SCG RLC are re-established and SCG MAC is reset. MCG RLC/MAC behavior depends on the solution selected by the network, see Annex A; - one step (direct) bearer type change between MN terminated bearer types without using the handover procedure is supported; - one step (direct) bearer type change between SN terminated bearer types without using the handover or SN change procedure is supported; - one step (direct) bearer type change from/to MN terminated bearer to/from SN terminated bearer without using the handover procedure is supported; - PDCP SN length change for an AM DRB or RLC mode change for DRB is performed using a release and add of the DRBs (in a single message) or full configuration; - One step (direct) bearer type change with PDCP version change (only applicable for EN-DC) is supported. For MR-DC with 5GC: - in a bearer termination point change of a DRB from a source NG-RAN node to a target NG-RAN node, for each DRB for which the source NG-RAN node provides QoS flow to DRB mapping information to the target NG-RAN node, the source NG-RAN node also offers the indicated DRB ID for usage at the target NG-RAN node. The target NG-RAN node informs the source NG-RAN node if it accepts the DRB offloading and takes the DRB ID into use. NOTE 1: In this clause the term ""handover"" refers to an E-UTRA handover or to an NR synchronous reconfiguration not necessarily implying a P(S)Cell change with or without security key change. NOTE 2: L2 handling for bearer type change in MR-DC is also summarized in Annex A (the table does not consider the cases that PDCP SN length is changed and avoiding reuse of COUNT).","Multi-Radio Dual Connectivity (MR-DC) is a technology feature within the 3GPP specifications, enabling user equipment to connect simultaneously to two different radio access technologies. This allows for more efficient use of network resources and improved user experience by supporting various bearer type changes, termination point changes, and security key updates without requiring handovers or SN change procedures.","MR-DC is classified as a Technology because it represents an advancement in the way multiple radio accesses are managed within the context of dual connectivity. It aligns with the broader goals of enhancing network efficiency, flexibility, and user experience, which are core to the evolution of telecommunications technologies.",3GPP TS 37.340,8.3 Bearer type change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRDC,Multi-Radio Dual Connectivity,Technology,U,"This procedure is used for the case the UE moves from one gNB-DU to another gNB-DU within the same gNB-CU when only MCG SRB is available during EN-DC operation. Figure 8.2.2.1-1 shows the inter-gNB-DU mobility procedure using MCG SRB in EN-DC. Figure 8.2.2.1-1: Inter-gNB-DU Mobility using MCG SRB in EN-DC 1. The UE sends an ULInformationTransferMRDC message to the MeNB. 2. The MeNB sends RRC TRANSFER message to the gNB-CU. 3. The gNB-CU may send UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU to query the latest SCG configuration. 4. The source gNB-DU responds with an UE CONTEXT MODIFICATION RESPONSE message that includes full configuration information. 5. The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the target gNB-DU to create an UE context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message includes a CG ConfigInfo. 6. The target gNB-DU responds the gNB-CU with an UE CONTEXT SETUP RESPONSE message. 7. The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU indicating to stop the data transmission to the UE. The source gNB-DU also sends a Downlink Data Delivery Status frame to inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE. 8. The source gNB-DU responds the gNB-CU with an UE CONTEXT MODIFICATION RESPONSE message. 9. The gNB-CU sends an SGNB MODIFICATION REQUIRED message to the MeNB. 10/11. The MeNB Initiated SgNB Modification procedure may be triggered by the SgNB Initiated SgNB Modification procedure (e.g. to provide information such as data forwarding addresses, new SN security key, measurement gap, etc...). 12. The MeNB and the UE perform RRC Connection Reconfiguration procedure. 13. The MeNB sends an SGNB MODIFICATION CONFIRM message to the gNB-CU. 14. Random Access procedure is performed at the target gNB-DU. The target gNB-DU sends a Downlink Data Delivery Status frame to inform the gNB-CU. Downlink packets, which may include PDCP PDUs not successfully transmitted in the source gNB-DU, are sent from the gNB-CU to the target gNB-DU. Downlink packets are sent to the UE. Also, uplink packets are sent from the UE, which are forwarded to the gNB-CU through the target gNB-DU. NOTE: It is up to gNB-CU implementation whether to start sending DL User Data to gNB-DU before or after reception of the Downlink Data Delivery Status. 15. The gNB-CU sends an UE CONTEXT RELEASE COMMAND message to the source gNB-DU. 16. The source gNB-DU releases the UE context and responds the gNB-CU with an UE CONTEXT RELEASE COMPLETE message.","Multi-Radio Dual Connectivity (MRDC) is a technology feature in 5G networks that enables user equipment (UE) to connect simultaneously to two different radio access technologies, such as LTE and NR. This allows for improved mobility, increased throughput, and better overall network performance. MRDC is particularly useful during EN-DC (E-UTRAN-NR Dual Connectivity) operations, where the UE can leverage both LTE and 5G radios for data transmission.","MRDC is classified as a Technology because it refers to a specific feature or capability within the 3GPP's 5G network architecture. The provided context describes the inter-gNB-DU mobility procedure using MRDC in EN-DC, highlighting its role in enhancing network performance and user experience.",3GPP TS 38.401,8.2.2.1 Inter-gNB-DU Mobility using MCG SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,Machine Learning,Technology,U,The 5G system shall support split AI/ML inference between UE and Network Server/Application function with performance requirements as given in Table 7.10.1-1. Table 7.10.1-1 KPI Table of split AI/ML inference between UE and Network Server/Application function The 5G system shall support AI/ML model downloading with performance requirements as given in Table 7.10.1-2. Table 7.10.1-2 KPI Table of AI/ML model downloading The 5G system shall support Federated Learning between UE and Network Server/Application function with performance requirements as given in Table 7.10.1-3. Table 7.10.1-3: KPI Table of Federated Learning between UE and Network Server/Application function,"Machine Learning (ML) refers to a subset of artificial intelligence that involves the use of algorithms and statistical models to enable machines to perform specific tasks without explicit instructions. In the context of the 5G system, ML is utilized for various purposes such as split AI/ML inference between User Equipment (UE) and Network Server/Application function, AI/ML model downloading, and Federated Learning. These applications are crucial for enhancing network efficiency, improving user experience, and enabling innovative services.",Machine Learning is classified under the Technology category because it represents a specific set of techniques and algorithms used within the telecommunications domain to improve network operations and service delivery. The mention of ML in the context of 3GPP's specifications for the 5G system highlights its role as a key technology driving advancements in telecommunications.,3GPP TS 22.261,7.10.1 KPI requirement for direct network connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDMA,Frequency Division Multiple Access,Technology,UU,"For and π/2-BPSK modulation only 2-of-3 adjacent subcarriers are selected as described in 5.5.2.1A.2. The time-continuous signal in SC-FDMA symbol in an uplink slot is defined by for where , , is given by Table 5.6-1, and and are respectively the modulation value for subcarrier index and for symbol , and the values of used on and are respectively obtained by subtracting from the resulting set of allocated subcarriers as described in Table 8.1.6-1 of [4], and represents the lower subcarrier index among the selected subcarriers and is the subcarrier index adjacent to it. The phase rotation is given by where is the number of transport blocks defined in clause 8.0 of TS 36.213[ Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures ]  [4]. If >1 and interleaving between codewords is applied according to clause 8.0 of TS 36.213[ Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures ]  [4], then the symbol counter is reset at the start of the first PUSCH codeword transmission and incremented for each symbol during the transmission of the PUSCH codewords. For other cases, the symbol counter is reset at the start of each PUSCH codeword transmission and incremented for each symbol during the transmission of the PUSCH codeword. The SC-FDMA symbols in a slot shall be transmitted in increasing order of , starting with , where SC-FDMA symbol starts at time within the slot.","Frequency Division Multiple Access (FDMA) is a technology used in telecommunications to allow multiple users to share the same communication channel by dividing it into different frequency bands. In the context of Evolved Universal Terrestrial Radio Access (E-UTRA), FDMA is utilized in Single-Carrier Frequency Division Multiple Access (SC-FDMA) for uplink transmissions, enabling efficient use of bandwidth and reducing interference between users.","FDMA is classified as a Technology because it refers to a specific method of multiplexing used in telecommunications, which is a key aspect of the 3GPP's specifications for E-UTRA. The provided context highlights its application in SC-FDMA, demonstrating its role in enabling multiple access in wireless communication systems.",3GPP TS 36.211,5.6A.2 Modulation scheme π/2-BPSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,Millimeter wave,Technology,U,"The IE PRS-ProcessingCapabilityOutsideMGinPPWperType is used to indicate DL PRS Processing Capability outside MG capabilities supported by the UE. PRS-ProcessingCapabilityOutsideMGinPPWperType information element -- ASN1START -- TAG-PRS-PROCESSINGCAPABILITYOUTSIDEMGINPPWPERType-START PRS-ProcessingCapabilityOutsideMGinPPWperType-r17 ::= SEQUENCE { prsProcessingType-r17 ENUMERATED {type1A, type1B, type2}, ppw-dl-PRS-BufferType-r17 ENUMERATED {type1, type2, ...}, ppw-durationOfPRS-Processing-r17 CHOICE { ppw-durationOfPRS-Processing1-r17 SEQUENCE { ppw-durationOfPRS-ProcessingSymbolsN-r17 ENUMERATED {msDot125, msDot25, msDot5, ms1, ms2, ms4, ms6, ms8, ms12, ms16, ms20, ms25, ms30, ms32, ms35, ms40, ms45, ms50}, ppw-durationOfPRS-ProcessingSymbolsT-r17 ENUMERATED {ms1, ms2, ms4, ms8, ms16, ms20, ms30, ms40, ms80, ms160, ms320, ms640, ms1280} }, ppw-durationOfPRS-Processing2-r17 SEQUENCE { ppw-durationOfPRS-ProcessingSymbolsN2-r17 ENUMERATED {msDot125, msDot25, msDot5, ms1, ms2, ms3, ms4, ms5, ms6, ms8, ms12}, ppw-durationOfPRS-ProcessingSymbolsT2-r17 ENUMERATED {ms4, ms5, ms6, ms8} } } OPTIONAL, ppw-maxNumOfDL-PRS-ResProcessedPerSlot-r17 SEQUENCE { scs15-r17 ENUMERATED {n1, n2, n4, n6, n8, n12, n16, n24, n32, n48, n64} OPTIONAL, scs30-r17 ENUMERATED {n1, n2, n4, n6, n8, n12, n16, n24, n32, n48, n64} OPTIONAL, scs60-r17 ENUMERATED {n1, n2, n4, n6, n8, n12, n16, n24, n32, n48, n64} OPTIONAL, scs120-r17 ENUMERATED {n1, n2, n4, n6, n8, n12, n16, n24, n32, n48, n64} OPTIONAL, ... }, ppw-maxNumOfDL-Bandwidth-r17 CHOICE { fr1-r17 ENUMERATED {mhz5, mhz10, mhz20, mhz40, mhz50, mhz80, mhz100}, fr2-r17 ENUMERATED {mhz50, mhz100, mhz200, mhz400} } OPTIONAL } -- TAG-PRS-PROCESSINGCAPABILITYOUTSIDEMGINPPWPERType-STOP -- ASN1STOP","Millimeter wave (MG) refers to a band of radio frequencies in the electromagnetic spectrum, typically defined as frequencies between 30 GHz and 300 GHz. In the context of 3GPP specifications, MG is relevant for discussing the capabilities and processing of Positioning Reference Signals (PRS) outside millimeter wave capabilities supported by User Equipment (UE). This involves detailing the UE's ability to process PRS signals in different frequency ranges and configurations.","MG is classified under Technology because it pertains to a specific range of radio frequencies used for telecommunications, particularly in the context of 5G networks. The discussion around MG capabilities and PRS processing falls within the realm of technological specifications and standards defined by 3GPP.",3GPP TS 38.331,– PRS-ProcessingCapabilityOutsideMGinPPWperType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP-EDT,Control Plane Early Data Transmission,Technology,U,"The UE shall send a CONTROL PLANE SERVICE REQUEST message, start T3417 and enter the state EMM-SERVICE-REQUEST-INITIATED. For case a in clause 5.6.1.1, the Control plane service type of the CONTROL PLANE SERVICE REQUEST message shall indicate ""mobile terminating request"". The UE may include the ESM DATA TRANSPORT message. The UE shall not include any ESM message other than ESM DATA TRANSPORT message. For case b in clause 5.6.1.1, - if the UE has pending IP, non-IP or Ethernet user data that is to be sent via the control plane radio bearers, the Control plane service type of the CONTROL PLANE SERVICE REQUEST message shall indicate ""mobile originating request"". The UE shall include an ESM DATA TRANSPORT message in the ESM message container IE. If the UE supports the CP-EDT (see 3GPP TS 36.300[ Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Overall description; Stage 2 ]  [20]), the UE shall provide the CONTROL PLANE SERVICE REQUEST message in the NAS request to the lower layer to establish a RRC connection as specified in clause 5.3.1.1. For cases b and m in clause 5.6.1.1, - if the UE has pending IP, non-IP or Ethernet user data that is to be sent via the user plane radio bearers, the UE shall set the Control plane service type of the CONTROL PLANE SERVICE REQUEST message to ""mobile originating request"" and the ""active"" flag in the Control plane service type IE to 1. The UE shall not include any ESM message container or NAS message container IE in the CONTROL PLANE SERVICE REQUEST message. For case c in clause 5.6.1.1, the UE shall set the Control plane service type of the CONTROL PLANE SERVICE REQUEST message to ""mobile originating request"". If the CONTROL PLANE SERVICE REQUEST message is: - for sending SMS, the UE shall include the SMS message in the NAS message container IE and shall not include any ESM message container IE in the CONTROL PLANE SERVICE REQUEST message; and - for sending signalling different from SMS, the UE shall not include any ESM message container or NAS message container IE in the CONTROL PLANE SERVICE REQUEST message. For cases p and q in clause 5.6.1.1, the UE shall send the CONTROL PLANE SERVICE REQUEST message, - for case p in clause 5.6.1.1 set Request type to ""NAS signalling connection release"" in the UE request type IE and Control plane service type IE to ""mobile originating request""; or - for case q in clause 5.6.1.1 set Request type to ""Rejection of paging"" in the UE request type IE and Control plane service type IE to ""mobile terminating request""; and start T3417 and enter the state EMM-SERVICE-REQUEST-INITIATED. Further, the UE may include its paging restriction preference in the Paging restriction IE in the CONTROL PLANE SERVICE REQUEST message and shall not include any ESM message container or NAS message container IE in the CONTROL PLANE SERVICE REQUEST message. For case o in clause 5.6.1.1, the Control plane service type of the CONTROL PLANE SERVICE REQUEST message shall indicate ""mobile originating request"". The UE shall not include the Paging restriction IE in the CONTROL PLANE SERVICE REQUEST message. The UE may include the UE request type IE and set Request type to ""NAS signalling connection release"" to remove the paging restriction and request the release of the NAS signalling connection at the same time. If the UE requests the release of the NAS signalling connection, the UE shall not include any ESM message container or NAS message container IE in the CONTROL PLANE SERVICE REQUEST message.","Control Plane Early Data Transmission (CP-EDT) is a feature specified by 3GPP that enables early transmission of data over the control plane, allowing for faster communication and improved network efficiency. It is particularly relevant in scenarios where low-latency data transmission is critical, such as in IoT applications or mission-critical communications.",CP-EDT is classified under Technology because it represents a specific standard or feature within the 3GPP specifications that enhances the performance of control plane operations in mobile networks. It aligns with the broader context of 3GPP's efforts to optimize network functionality and user experience.,3GPP TS 24.301,5.6.1.2.2 UE is using EPS services with control plane CIoT EPS optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
