,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
597,"What is the default behavior of a UE in terms of including NSSAI in the Access Stratum for 3GPP access, if no explicit indication has been provided by the network?",The UE shall include an NSSAI set to the Allowed NSSAI.,The UE shall include a NSSAI with the S-NSSAI(s) of the Network Slice(s) that trigger the Access Stratum Connection Establishment.,"The UE shall not provide NSSAI in the Access stratum, but may include it in certain cases.",The UE shall not include any NSSAI in the Access Stratum Connection Establishment.,Option 4,"According to the text, for 3GPP access, the UE default mode of operation is to operate in mode d), which means that the UE shall not include any NSSAI in the Access Stratum Connection Establishment, unless it has been provided with an indication to operate in mode a), b) or c).",3GPP TS 23.501,5.15.9 Operator-controlled inclusion of NSSAI in Access Stratum Connection Establishment,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
598,What is the primary purpose of the Nnef_ServiceParameter_Get operation in the 5G System (5GS)?,To update service specific parameters in the UDR via the NEF.,To retrieve service specific parameters from the UDR via the NEF.,To delete service specific parameters from the UDR via the NEF.,To create new service specific parameters in the UDR via the NEF.,Option 2,The Nnef_ServiceParameter_Get operation is used by the consumer to retrieve service specific parameters from the User Data Repository (UDR) via the Network Exposure Function (NEF). This allows the consumer to obtain the necessary information for service provision and management.,3GPP TS 23.502,5.2.6.11.5 Nnef_ServiceParameter_Get operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
599,What triggers an MME to send an Alert MME Notification message on the S3 interface to the associated SGSN?,When a UE initiates a voice call.,When ISR is deactivated.,When the MME receives a notification from the HSS.,"When ISR is activated, except under specific conditions.",Option 4,"According to the specification, an Alert MME Notification message is sent by the MME to the associated SGSN on the S3 interface when ISR (Idle mode Signaling Reduction) is activated, except under certain conditions specified in 3GPP TS 23.272. This allows the MME to request notification when any activity from the UE is detected.",3GPP TS 29.274,7.4.6 Alert MME Notification,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
600,What is the primary cause of remote interference in TDD networks with the same UL/DL slot configuration?,Multipath fading,Atmospheric ducting phenomenon,Co-channel interference,Inter-symbol interference,Option 2,"The atmospheric ducting phenomenon causes radio signals to bend back towards the Earth, allowing them to travel longer distances and potentially interfere with UL signals in victim cells. This is the primary cause of remote interference in TDD networks with the same UL/DL slot configuration.",3GPP TS 38.300,17.1 Remote Interference Management,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
601,What condition must be fulfilled for a UE to consider the entering condition for Event Y2 (Candidate L2 U2N Relay UE becomes better than threshold) satisfied?,The measurement result of the candidate L2 U2N Relay UE minus the hysteresis parameter is greater than the threshold parameter.,The measurement result of the candidate L2 U2N Relay UE plus the hysteresis parameter is less than the threshold parameter.,The measurement result of the candidate L2 U2N Relay UE is equal to the threshold parameter.,The hysteresis parameter is greater than the threshold parameter.,Option 1,"According to the specification, Inequality Y2-1 (Entering condition) states that Mr – Hys > Thresh. This means that for a UE to consider the entering condition for Event Y2 satisfied, the measurement result of the candidate L2 U2N Relay UE minus the hysteresis parameter must be greater than the threshold parameter.",3GPP TS 38.331,5.5.4.20 Event Y2 (Candidate L2 U2N Relay UE becomes better than threshold),RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
602,"What is the correct format for the username part of the NAI in a 5G-GUTI, as specified in IETF RFC 7542?",tmsi<5G-TMSI>.pt<AMF Pointer>.set<AMF Set Id>,tmsi<5G-TMSI>.pt<AMF Pointer>.region<AMF Region Id>,<AMF Pointer>.set<AMF Set Id>.region<AMF Region Id>,tmsi<5G-TMSI>.pt<AMF Pointer>.set<AMF Set Id>.region<AMF Region Id>,Option 4,"The correct format for the username part of the NAI in a 5G-GUTI, as specified in IETF RFC 7542, is tmsi<5G-TMSI>.pt<AMF Pointer>.set<AMF Set Id>.region<AMF Region Id>, where <5G-TMSI>, <AMF Pointer>, <AMF Set Id> and <AMF Region Id> are the hexadecimal strings of the 5G-TMSI, AMF Pointer, AMF Set ID and AMF Region ID respectively.",3GPP TS 23.003,28.7.8 NAI format for 5G-GUTI,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
603,What types of non-3GPP access networks are defined in this Release of the specification?,"Untrusted non-3GPP access networks, Trusted non-3GPP access networks, and Wireline access networks.",Only Untrusted non-3GPP access networks and Trusted non-3GPP access networks.,Only Wireline access networks and Untrusted non-3GPP access networks.,None of the above options are correct.,Option 1,"According to the specification, three types of non-3GPP access networks are defined in this Release: Untrusted non-3GPP access networks, Trusted non-3GPP access networks, and Wireline access networks. This is important for understanding the different architectures and support mechanisms for these networks in the 5G System (5GS).",3GPP TS 23.501,4.2.8 Support of non-3GPP access 4.2.8.0 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
604,What indicates a successful outgoing intra-eNB handover when Discontinuous Reception (DRX) is used in an Evolved Universal Terrestrial Radio Access Network (E-UTRAN)?,Receipt of a RRC message RRCConnectionReconfiguration sent from the eNB to the UE.,"Receipt of a RRC message RRCConnectionReconfigurationComplete sent from the UE to the target (=source) eNB, or receipt at the source eNB of UE CONTEXT RELEASE over the X2 from the target eNB following a successful handover when DRX is used.",Receipt of UE CONTEXT RELEASE COMMAND at the target eNB following a successful handover when DRX is not used.,"Receipt of RRC message RRCConnectionReconfigurationComplete sent from the eNB to the UE, and then receipt of UE CONTEXT RELEASE over the X2 from the source eNB.",Option 2,"The correct answer is Option 2 because it accurately describes the indicators for a successful outgoing intra-eNB handover when DRX is used in an E-UTRAN. These indicators include the receipt of a RRC message RRCConnectionReconfigurationComplete sent from the UE to the target (=source) eNB, or the receipt at the source eNB of UE CONTEXT RELEASE over the X2 from the target eNB following a successful handover when DRX is used.",3GPP TS 32.425,4.3.1.5.2 Successful outgoing handovers with DRX,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
605,What is the purpose of the UE Core Network Capability information in the context of E-UTRAN access?,To indicate the UE's support for specific radio bearers on the GERAN/UTRAN RAT.,"To provide the MME with information about the UE's capabilities, such as CIoT and NAS/AS security algorithms, to ensure that the UE Core Network Capability information stored in the MME is up to date.",To allow the UE to operate multiple USIMs simultaneously without indicating support for Multi-USIM features.,To enable the MME to remove the stored MS Network Capability if it is not included in Attach or non-periodic Tracking Area Update signalling.,Option 2,"The correct answer is Option 2 because the UE Core Network Capability information is used to provide the MME with information about the UE's capabilities, such as CIoT and NAS/AS security algorithms, to ensure that the UE Core Network Capability information stored in the MME is up to date. This information is crucial for the MME to handle situations like inter-RAT Tracking Area Update and to store the latest UE Core Network Capability received from the UE.",3GPP TS 23.401,5.11.3 UE Core Network Capability,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
606,"What is required for a user to gain access to the USIM, ensuring that only authorized users can access it?",The user must have physical possession of the USIM.,"The user and USIM must share a secret, such as a PIN, stored securely in the USIM.",The user must be connected to a specific network or operator.,The user must have a specific type of device or software.,Option 2,"This is because the shared secret (e.g. PIN) serves as a means for the USIM to authenticate the user, ensuring that access is restricted to authorized users only.",3GPP TS 33.102,5.3.1 User-to-USIM authentication,SA WG3,"3GPP Series : 33 , Security aspects"
607,"What is the requirement for Diameter NASREQ (IETF RFC 7155) AVPs marked with ""M"" in the Gmb interface?",They are mandatory and must be supported for compliance.,They are optional but recommended for better performance.,They are not required for being compliant with the current specification.,They are only applicable to specific use cases.,Option 3,"According to the text, Diameter NASREQ (IETF RFC 7155) AVPs marked with ""M"" are not required for compliance with the current specification. This means that even if an AVP is marked as mandatory in the IETF RFC 7155, it is still not necessary to support it for compliance with the Gmb interface.",3GPP TS 29.061,17.6 Gmb Messages,CT WG3,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
608,What is the maximum number of EPS bearers that a UE attached to WB-E-UTRAN access may support?,8 EPS bearers,15 EPS bearers,The maximum number of EPS bearers is not specified,It depends on the EPC connected to the E-UTRAN access,Option 2,"According to the text, a UE attached to WB-E-UTRAN access may support 8 or 15 EPS bearers.",3GPP TS 23.401,4.12 Supporting up to 15 EPS bearers per UE,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
609,What is the purpose of the function that enables requesting a change of handover and/or reselection parameters at the target cell?,To optimize network performance during peak hours.,To adapt mobility configuration in response to changes in user behavior.,To ensure seamless handovers between cells with different frequencies.,To balance load between cells and prevent congestion.,Option 4,"The function is used to adapt handover and/or reselection parameters at the target cell to balance load between cells and prevent congestion. This is evident from the text, which states that the source cell estimates if it is needed to change mobility configuration in the source and/or target cell for load balancing related requests.",3GPP TS 38.300,15.5.1.4 Adapting handover and/or reselection configuration,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
610,"What is the purpose of appending the radio bearer identity to the signalling message, even though it is not transmitted with the message?",To provide additional encryption for the message.,To ensure that different instances of message authentication codes use a unique set of input parameters.,To authenticate the sender of the message.,To verify the integrity of the message.,Option 2,"The radio bearer identity is appended to the signalling message to avoid using the same set of input parameters for different instances of message authentication codes. This ensures that each instance has a unique set of inputs, which is essential for secure message authentication in telecom networks.",3GPP TS 33.102,6.5.4.5 MESSAGE,SA WG3,"3GPP Series : 33 , Security aspects"
611,What is the primary purpose of the Nnef_AMInfluence_Delete operation in the 5G System (5GS)?,To authorize and forward a request to delete AM influence data based on the AF Transaction Id.,To create new AM influence data for an NF Service Consumer.,To update existing AM influence data with new information.,To retrieve AM influence data for an NF Service Consumer.,Option 1,"The Nnef_AMInfluence_Delete operation is specifically designed to handle the deletion of AM influence data. It requires the AF Transaction Id as a mandatory input to identify the request from the NF Service Consumer, and its primary function is to authorize this request before forwarding it for the actual deletion process.",3GPP TS 23.502,5.2.6.23.4 Nnef_AMInfluence_Delete operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
612,What happens to the associated PDCP and RLC entities when the security key is changed for a bearer due to a termination point change in MR-DC?,The PDCP and RLC entities are not affected.,"The PDCP and RLC entities are re-established, while MAC behavior might depend on the solution selected by the network.","The PDCP and RLC entities are reset, but not re-established.",The PDCP and RLC entities are terminated.,Option 2,"According to the text, when the security key is changed for a bearer due to a termination point change in MR-DC, the associated PDCP and RLC entities are re-established. This is because the security key change requires a new set of encryption keys, which necessitates the re-establishment of the PDCP and RLC entities. The MAC behavior might depend on the solution selected by the network, such as MAC reset or change of LCID.",3GPP TS 37.340,8.3 Bearer type change,RAN2,"3GPP Series : 37 , Multiple radio access technology aspects"
613,What is the purpose of including the Extended rejected NSSAI Information Element (IE) in a message from the network to the User Equipment (UE)?,To inform the UE about the supported S-NSSAIs.,To request additional registration information from the UE.,To indicate that the UE's requested NSSAI is accepted by the network.,To notify the UE of one or more S-NSSAIs that were rejected by the network.,Option 4,"The Extended rejected NSSAI IE is used to inform the UE about the S-NSSAIs that were included in the requested NSSAI but were rejected by the network, allowing the UE to take appropriate action.",3GPP TS 24.501,8.2.7.40 Extended rejected NSSAI,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
614,When is an MS required to perform routing area updating for IMS voice termination?,Only when the upper layers have indicated that the MS is available for voice calls in the IMS.,"When all of the following conditions are met: the upper layers have indicated that the MS is available for voice calls in the IMS, the MS is enabled for mobility management for IMS voice termination, the ""IMS voice over PS session indicator"" received for Iu mode has a specific value indicating support only in Iu mode, and the voice domain preference for UTRAN is not set to ""CS voice only"".","When the MS is enabled for mobility management for IMS voice termination and the voice domain preference for UTRAN is set to ""IMS voice over PS session supported"".","Only when the ""IMS voice over PS session indicator"" received for Iu mode has a specific value indicating support only in Iu mode.",Option 2,"The correct answer requires all conditions to be met, as specified in the 3GPP TS 24.008 standard. This includes the upper layers indicating MS availability for IMS voice calls, MS enablement for mobility management, a specific ""IMS voice over PS session indicator"" value, and a non-""CS voice only"" UTRAN voice domain preference.",3GPP TS 24.008,P.3 Inter-system change between A/Gb mode and Iu mode,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
615,What happens when the timer corresponding to the Active Time value expires in a UE that has negotiated MICO mode with an AMF?,The UE enters CM-CONNECTED state.,The UE sends a periodic registration update to the AMF.,The UE and AMF reset the timer.,The UE enters MICO mode and is not available for paging.,Option 4,"When the timer corresponding to the Active Time value expires, the UE enters MICO mode, indicating that it is no longer reachable for paging. This allows the AMF to deduce that the UE has entered MICO mode and is not available for paging, which helps in optimizing network resources.",3GPP TS 23.501,5.31.7.4 MICO mode with Active Time,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
616,"What type of societal scenario is envisioned for the near future, where network access is required everywhere?",A partially connected society with limited network access.,A fully isolated society with no network access.,A semi-connected society with restricted network access.,A fully connected society with ubiquitous network access.,Option 4,"The correct answer is a fully connected society, as it aligns with the vision of providing network access everywhere, including remote and rural areas, to support both humans and machines. This scenario requires ubiquitous network coverage to enable seamless communication and connectivity across different environments.",3GPP TS 22.261,6.17.1 Description,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
617,"When does the network initiate the paging procedure for an incoming mobile terminating SMS to a UE that is attached for EPS services with CIoT EPS optimization and has requested ""SMS only""?",Only when the UE is in NB-S1 mode and there is no NAS signalling connection.,"When the UE is in any mode, as long as there is no NAS signalling connection.","When the UE is in NB-S1 mode, there is no NAS signalling connection, and no paging restriction is applied in the network.",Only when the UE is not using eDRX.,Option 3,"According to the specification, for a UE attached for EPS services with CIoT EPS optimization and requesting ""SMS only"", the network initiates the paging procedure when the UE is in NB-S1 mode, there is no NAS signalling connection, and no paging restriction is applied in the network. This ensures that the UE can receive the SMS even if it's not actively connected to the network.",3GPP TS 24.301,5.6.2.4 Paging for SMS,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
618,What is the purpose of including the Rejected NSSAI IE in a message from the network to the UE?,To inform the UE about available S-NSSAIs for registration.,To notify the UE of one or more S-NSSAIs that were rejected by the network during the registration process.,To request additional NSSAI information from the UE.,To confirm successful registration with the requested NSSAI.,Option 2,"The Rejected NSSAI IE is used to inform the UE about S-NSSAIs that were included in the initial REGISTRATION REQUEST message but were not accepted by the network. This allows the UE to be aware of which S-NSSAIs are not supported or allowed, facilitating a more efficient registration process and potential re-attempt with an adjusted NSSAI request.",3GPP TS 24.501,8.2.7.6 Rejected NSSAI,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
619,"What is the maximum length of the Home NodeB (HNB) Name in bytes, as per the specification?",32 bytes,48 bytes,64 bytes,128 bytes,Option 2,"The HNB Name is a broadcast string that provides a human-readable name for the Home NodeB or Home eNodeB identity. As per the specification, the maximum length of the HNB Name is 48 bytes, which allows for a variable number of bytes per character in UTF-8 format.",3GPP TS 23.003,4.8 HNB Name,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
620,"During an inter NG-RAN Handover procedure without a change of UPF, what action does the SMF take to indicate to the UPF to switch the N3 path(s) and send end marker packet(s)?",The SMF sends an N4 Session Establishment Request message with the new AN Tunnel Info of NG RAN.,The SMF sends an N4 Session Modification Request message with the old AN Tunnel Info of NG RAN.,The SMF sends an N4 Session Modification Request message with the new AN Tunnel Info of NG RAN and an indication to send end marker packet(s) on the old N3 user plane path.,The SMF sends an N9 Session Establishment Request message with the new CN Tunnel Info of the UPF terminating N3.,Option 3,"According to the 3GPP TS 23.501 specification, during an inter NG-RAN Handover procedure without a change of UPF, the SMF sends an N4 Session Modification Request message with the new AN Tunnel Info of NG RAN and provides an indication to the UPF to send end marker packet(s) on the old N3 user plane path. This action allows the UPF to switch the N3 path(s) and construct end marker packet(s) for each N3 GTP-U tunnel towards the source NG RAN after sending the last PDU on the old path.",3GPP TS 23.501,"5.8.2.9.1 UPF Constructing the ""End marker"" Packets",SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
621,In which state does the MME enter after a successful routing area updating or combined routing area updating procedure if ISR is not activated or deactivated?,EMM-REGISTERED,EMM-DEREGISTERED,EMM-IDLE,EMM-CONNECTED,Option 2,"According to the 3GPP specification, if ISR (Idle mode Signaling Reduction) is not activated or deactivated during a routing area updating or combined routing area updating procedure, the MME enters the state EMM-DEREGISTERED after the successful completion of the procedure. This indicates that the UE is detached and the MME has no EMM context or the EMM Context is marked as detached.",3GPP TS 24.301,5.1.3.4.1 EMM-DEREGISTERED,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
622,"In which GMM-REGISTERED substate does the MS perform a combined GPRS detach procedure for non-GPRS services only, and user data and signalling information may be sent and received?",GMM-REGISTERED.NORMAL-SERVICE,GMM-REGISTERED.SUSPENDED,GMM-REGISTERED.IMSI-DETACH-INITIATED,GMM-REGISTERED.PLMN-SEARCH,Option 3,"The correct answer is GMM-REGISTERED.IMSI-DETACH-INITIATED, as this substate is entered when the MS performs a combined GPRS detach procedure for non-GPRS services only (detach type ""IMSI Detach""), and user data and signalling information may be sent and received.",3GPP TS 24.008,4.1.3.1.3 Substates of state GMM-REGISTERED,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
623,When does the Mobile Station (MS) include the TMSI Status Information Element (IE) in a message?,When the MS has a valid Temporary Mobile Subscriber Identity (TMSI) and performs a location area update.,When the MS performs a combined routing area update and no valid TMSI is available.,When the MS has an invalid TMSI and performs a periodic routing area update.,When the MS has a valid TMSI and performs a detach procedure.,Option 2,"The correct answer is Option 2 because, according to the specification, the TMSI Status IE is included when the MS performs a combined routing area update and no valid TMSI is available. This ensures that the network is informed about the MS's TMSI status during this specific procedure.",3GPP TS 24.008,9.4.14.4 TMSI status,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
624,When does the MME include the HashMME information element in a SECURITY MODE COMMAND?,During an attach or tracking area updating procedure when the ATTACH REQUEST or TRACKING AREA UPDATE REQUEST message was received with integrity protection and successfully passed the integrity check at the MME.,During an attach or tracking area updating procedure when the ATTACH REQUEST or TRACKING AREA UPDATE REQUEST message was received without integrity protection or did not successfully pass the integrity check at the MME.,When the UE is initiating a SECURITY MODE COMMAND during an attach or tracking area updating procedure and the ATTACH REQUEST or TRACKING AREA UPDATE REQUEST message was received with integrity protection and successfully passed the integrity check at the MME.,When the MME is responding to a SECURITY MODE COMPLETE message from the UE.,Option 2,The HashMME information element is included in the SECURITY MODE COMMAND by the MME during an attach or tracking area updating procedure when the ATTACH REQUEST or TRACKING AREA UPDATE REQUEST message was received without integrity protection or did not successfully pass the integrity check at the MME. This ensures that the UE and MME can establish a secure connection.,3GPP TS 24.301,8.2.20.5 HashMME,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
625,"What type of Cell Identity is used in NG-RAN signalling for User Location Information, Paging Optimization, Area of Interest, and PWS?",Served Cell ID,Mapped Cell ID,Uu Cell ID,TAI-based Cell ID,Option 2,"According to the 3GPP TS 38.300 specification, the Cell Identity used in NG-RAN signalling for various cases corresponds to a Mapped Cell ID, which is defined in TS 38.413 and TS 38.423. This type of Cell Identity is used to identify the correct target cell and is mapped to geographical areas configured in the RAN and Core Network.",3GPP TS 38.300,16.14.5 NG-RAN signalling,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
626,What is the primary purpose of the Nnef_ParameterProvision_Get service operation in the 5G System?,To provision network configuration parameters to the AF.,"To retrieve UE-related information, such as Expected UE Behaviour and Network Configuration parameters, for a specific UE or group of UEs.",To update the ECS Address Configuration Information for a specific UE.,To register an AF with the network.,Option 2,"The Nnef_ParameterProvision_Get service operation is used by the consumer to retrieve UE-related information, such as Expected UE Behaviour and Network Configuration parameters, for a specific UE or group of UEs. This information is essential for the AF to understand the UE's behavior and configuration, enabling it to provide optimized services.",3GPP TS 23.502,5.2.6.4.5 Nnef_ParameterProvision_Get service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
627,What is the specified string value of the Service ID for Proximity-based services (ProSe) as per 3GPP standards?,3GPP ProSe,ProSe Service Category,3GPP Service Category,3GPP ProSe Service Category,Option 4,"The correct answer is ""3GPP ProSe Service Category"" because it is the specified string value of the Service ID for Proximity-based services (ProSe) as per 3GPP standards, which ensures proper identification and categorization of ProSe services within the 3GPP framework.",3GPP TS 23.003,24.17 Service ID,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
628,What happens when a SERVICE REQUEST message is received with a protocol error in the network side?,The network sends a SERVICE ACCEPT message.,The network stays in PMM-CONNECT mode.,The network initiates the GMM common procedures.,The network returns a SERVICE REJECT message with one of the specified reject causes.,Option 4,"According to the text, if a SERVICE REQUEST message is received with a protocol error, the network shall return a SERVICE REJECT message with one of the following reject causes: #96: Mandatory information element error; #99: Information element non-existent or not implemented; #100: Conditional IE error; #111: Protocol error, unspecified. The network stays in PMM-IDLE mode.",3GPP TS 24.008,4.7.13.6 Abnormal cases on the network side,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
629,What is the maximum number of PDU sessions supported when a non-5G capable over WLAN (N5CW) device accesses the 5G Core Network (5GCN) via a trusted WLAN interworking function (TWIF)?,Two,Three,One,Unlimited,Option 3,"According to the specifications, only one PDU session is supported when an N5CW device accesses the 5GCN via a TWIF. This limitation ensures that the TWIF can manage and maintain a single PDU session on behalf of the N5CW device, simplifying the process of establishing, modifying, and releasing PDU sessions.",3GPP TS 24.501,4.7.5 NAS signalling using trusted WLAN access network,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
630,What is the format of the Alternative Network Access Identifier (NAI) as specified in IETF RFC 4282 for use in a 3GPP network?,"<any_username>@REALM, where REALM is ""unreachable.3gppnetwork.org""",<IMSI_derived_username>@3gppnetwork.org,<null_string>@unreachable.3gppnetwork.org,<any_non_null_string>@3gppnetwork.org,Option 1,"The Alternative NAI is specified to take the form of 'any_username@REALM' as per IETF RFC 4282, with the REALM part being ""unreachable.3gppnetwork.org"". This ensures that the Alternative NAI is not routable from any AAA server and contains a username part not derived from the IMSI.",3GPP TS 23.003,19.3.7 Alternative NAI,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
631,What is the maximum number of APN-level Overload Control Information (OCI) instances that can be included in a single GTP-C message?,5,10,20,No limit,Option 2,"According to the specification, at message level, there shall be at most one instance of node-level Overload Control Information IE per node and at most 10 APN-level instances. This ensures that the processing of the message on the receiver side and the size of the message are limited.",3GPP TS 29.274,12.3.5.3 Limit on maximum number of instances,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
632,What is the primary purpose of the Nnef_PFDManagement_Notify service operation in the 5G System (5GS)?,To request PFDs from the NF Producer for a specific Application Identifier.,To provide updated PFDs for an Application Identifier to the NF Consumer.,To delete existing PFDs associated with an Application Identifier.,To retrieve the list of supported Application Identifiers from the NF Producer.,Option 2,"The Nnef_PFDManagement_Notify service operation is used to provide updated PFDs (Packet Flow Descriptions) for a specific Application Identifier to the NF Consumer, as indicated by the ""Outputs"" section being empty and the ""Description"" stating it provides updates. This operation enables the NF Consumer to stay informed about changes to the PFDs associated with an Application Identifier, which is crucial for proper traffic handling in the 5G network.",3GPP TS 23.502,5.2.6.3.4 Nnef_PFDManagement_Notify service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
633,What is required for protecting keys stored or processed in cleartext within a gNB deployment?,"The whole entity should be placed in a physically secure location, and keys can be stored and processed without any additional protection.",Any part of the gNB deployment that stores or processes keys in cleartext shall use end-to-end encryption to protect the keys.,Keys stored inside a secure environment in any part of the gNB should be regularly updated to prevent unauthorized access.,"The part of the gNB deployment that stores or processes keys in cleartext shall be protected from physical attacks, and if not possible, the whole entity should be placed in a physically secure location.",Option 4,"Protecting keys stored or processed in cleartext within a gNB deployment is crucial. The correct answer requires that any part of the gNB deployment handling keys in cleartext must be protected from physical attacks, and if this is not feasible, the entire entity should be placed in a physically secure location to prevent unauthorized access.",3GPP TS 33.501,5.3.5 Requirements for key management inside the gNB,SA WG3,"3GPP Series : 33 , Security aspects"
634,What happens when a Serving GW receives downlink data and Idle State UE has activated Idle State Routing (ISR) in a network?,The Serving GW sends downlink data notifications to the MME only.,The Serving GW sends downlink data notifications to the SGSN only.,The Serving GW establishes a direct connection with the UE.,"The Serving GW sends downlink data notifications to both MME and SGSN, which then start their paging procedures.",Option 4,"When ISR is activated for an Idle State UE, the Serving GW has control connections with both MME (Mobility Management Entity) and SGSN (Serving GPRS Support Node). As a result, upon receiving downlink data, the Serving GW sends notifications to both nodes, which then initiate their respective paging procedures in parallel. This ensures that the UE is paged in its registered Routing Area (RA) and Tracking Area(s) (TA), regardless of whether it is camping on E-UTRAN, UTRAN, or GERAN.",3GPP TS 23.401,J.4 Downlink data transfer,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
635,What happens when the MS receives a MODIFY PDP CONTEXT REQUEST message with a WLAN offload indication information element?,The MS ignores the WLAN offload indication and continues to use the existing offload acceptability values.,The MS replaces stored WLAN offload acceptability values for this PDN connection with the newly received offload indications and uses the UTRAN offload acceptability value to determine whether this PDN connection is offloadable to WLAN or not.,The MS sends a MODIFY PDP CONTEXT REJECT message in response to the MODIFY PDP CONTEXT REQUEST message.,The MS stops timer T3396 if it is running for the APN sent by the MS.,Option 2,"When the MS receives a MODIFY PDP CONTEXT REQUEST message with a WLAN offload indication information element, it replaces stored WLAN offload acceptability values for this PDN connection with the newly received offload indications and uses the UTRAN offload acceptability value to determine whether this PDN connection is offloadable to WLAN or not. This ensures that the MS has the most up-to-date information about WLAN offloading for the PDN connection.",3GPP TS 24.008,6.1.3.3.1 Network initiated PDP Context Modification,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
636,"What is the primary purpose of choosing a large value for the parameter ""Choose"" in the management of sequence numbers?",To reduce the number of successful authentications required to force the counter in the USIM to wrap around.,"To increase the difficulty of an attack that aims to force the counter in the USIM to wrap around, thereby protecting against wrap-around attacks.",To decrease the age limit for sequence numbers and make it more difficult to track user anonymity.,To reduce the length of the array used for protection against wrap-around attacks.,Option 2,"The correct answer is Option 2 because choosing a large value for the parameter ""Choose"" (in this case, 228) makes it more difficult for an attacker to force the counter in the USIM to wrap around. This is evident from the fact that an attack would require at least SEQmax/ = 215 > 32,000 successful authentications, making it a more secure option.",3GPP TS 33.102,C.3.2 Profile 2: management of sequence numbers which are not time-based,SA WG3,"3GPP Series : 33 , Security aspects"
637,How does a source GTP-C entity enforce overload control for traffic destined to a peer GTP-C entity in direct contact?,Based on the available bandwidth of the source GTP-C entity.,Based on the overload reduction metric received from the peer GTP-C entity.,Based on the priority of the messages being sent.,Based on the number of active sessions with the peer GTP-C entity.,Option 2,"The source GTP-C entity enforces overload control based on the information received from the peer GTP-C entity, specifically the overload reduction metric. This allows the source entity to adjust its traffic accordingly and prevent overloading the peer entity.",3GPP TS 29.274,12.3.10.3 Enforcement of overload control between GTP-C entities in direct contact,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
638,What is the primary function of a Local EPC instance in isolated public safety networks using a Local EPC?,To provide S1 connectivity to the macro EPC,"To include at least MME, SGW/PDN GW and HSS functionality for local operation",To assign global IP addresses to UEs,To act as a bridge between IOPS and non-IOPS networks,Option 2,"In isolated public safety networks using a Local EPC, the primary function of a Local EPC instance is to include at least MME, SGW/PDN GW and HSS functionality for local operation. This allows the network to operate independently without S1 connectivity to the macro EPC.",3GPP TS 23.401,K.2 Operation of isolated public safety networks using a Local EPC K.2.1 General Description,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
